Image,Index,Name,Type 1,Type 2,Total,HP,Attack,Defense,Special_attack,Special_defense,Speed
images/1.png,1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45
images/2.png,2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60
images/3.png,3,Venusaur,Grass,Poison,525,80,82,83,100,100,80
images/4.png,4,Venusaur Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80
images/5.png,5,Charmander,Fire,,309,39,52,43,60,50,65
images/6.png,6,Charmeleon,Fire,,405,58,64,58,80,65,80
images/7.png,7,Charizard,Fire,Flying,534,78,84,78,109,85,100
images/8.png,8,Charizard Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100
images/9.png,9,Charizard Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100
images/10.png,10,Squirtle,Water,,314,44,48,65,50,64,43
images/11.png,11,Wartortle,Water,,405,59,63,80,65,80,58
images/12.png,12,Blastoise,Water,,530,79,83,100,85,105,78
images/13.png,13,Blastoise Mega Blastoise,Water,,630,79,103,120,135,115,78
images/14.png,14,Caterpie,Bug,,195,45,30,35,20,20,45
images/15.png,15,Metapod,Bug,,205,50,20,55,25,25,30
images/16.png,16,Butterfree,Bug,Flying,395,60,45,50,90,80,70
images/17.png,17,Weedle,Bug,Poison,195,40,35,30,20,20,50
images/18.png,18,Kakuna,Bug,Poison,205,45,25,50,25,25,35
images/19.png,19,Beedrill,Bug,Poison,395,65,90,40,45,80,75
images/20.png,20,Beedrill Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145
images/21.png,21,Pidgey,Normal,Flying,251,40,45,40,35,35,56
images/22.png,22,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71
images/23.png,23,Pidgeot,Normal,Flying,479,83,80,75,70,70,101
images/24.png,24,Pidgeot Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121
images/25.png,25,Rattata,Normal,,253,30,56,35,25,35,72
images/26.png,26,Rattata Alolan Rattata,Dark,Normal,253,30,56,35,25,35,72
images/27.png,27,Raticate,Normal,,413,55,81,60,50,70,97
images/28.png,28,Raticate Alolan Raticate,Dark,Normal,413,75,71,70,40,80,77
images/29.png,29,Spearow,Normal,Flying,262,40,60,30,31,31,70
images/30.png,30,Fearow,Normal,Flying,442,65,90,65,61,61,100
images/31.png,31,Ekans,Poison,,288,35,60,44,40,54,55
images/32.png,32,Arbok,Poison,,448,60,95,69,65,79,80
images/33.png,33,Pikachu,Electric,,320,35,55,40,50,50,90
images/34.png,34,Pikachu Partner Pikachu,Electric,,430,45,80,50,75,60,120
images/35.png,35,Raichu,Electric,,485,60,90,55,90,80,110
images/36.png,36,Raichu Alolan Raichu,Electric,Psychic,485,60,85,50,95,85,110
images/37.png,37,Sandshrew,Ground,,300,50,75,85,20,30,40
images/38.png,38,Sandshrew Alolan Sandshrew,Ice,Steel,300,50,75,90,10,35,40
images/39.png,39,Sandslash,Ground,,450,75,100,110,45,55,65
images/40.png,40,Sandslash Alolan Sandslash,Ice,Steel,450,75,100,120,25,65,65
images/41.png,41,Nidoran♀,Poison,,275,55,47,52,40,40,41
images/42.png,42,Nidorina,Poison,,365,70,62,67,55,55,56
images/43.png,43,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76
images/44.png,44,Nidoran♂,Poison,,273,46,57,40,40,40,50
images/45.png,45,Nidorino,Poison,,365,61,72,57,55,55,65
images/46.png,46,Nidoking,Poison,Ground,505,81,102,77,85,75,85
images/47.png,47,Clefairy,Fairy,,323,70,45,48,60,65,35
images/48.png,48,Clefable,Fairy,,483,95,70,73,95,90,60
images/49.png,49,Vulpix,Fire,,299,38,41,40,50,65,65
images/50.png,50,Vulpix Alolan Vulpix,Ice,,299,38,41,40,50,65,65
images/51.png,51,Ninetales,Fire,,505,73,76,75,81,100,100
images/52.png,52,Ninetales Alolan Ninetales,Ice,Fairy,505,73,67,75,81,100,109
images/53.png,53,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20
images/54.png,54,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45
images/55.png,55,Zubat,Poison,Flying,245,40,45,35,30,40,55
images/56.png,56,Golbat,Poison,Flying,455,75,80,70,65,75,90
images/57.png,57,Oddish,Grass,Poison,320,45,50,55,75,65,30
images/58.png,58,Gloom,Grass,Poison,395,60,65,70,85,75,40
images/59.png,59,Vileplume,Grass,Poison,490,75,80,85,110,90,50
images/60.png,60,Paras,Bug,Grass,285,35,70,55,45,55,25
images/61.png,61,Parasect,Bug,Grass,405,60,95,80,60,80,30
images/62.png,62,Venonat,Bug,Poison,305,60,55,50,40,55,45
images/63.png,63,Venomoth,Bug,Poison,450,70,65,60,90,75,90
images/64.png,64,Diglett,Ground,,265,10,55,25,35,45,95
images/65.png,65,Diglett Alolan Diglett,Ground,Steel,265,10,55,30,35,45,90
images/66.png,66,Dugtrio,Ground,,425,35,100,50,50,70,120
images/67.png,67,Dugtrio Alolan Dugtrio,Ground,Steel,425,35,100,60,50,70,110
images/68.png,68,Meowth,Normal,,290,40,45,35,40,40,90
images/69.png,69,Meowth Alolan Meowth,Dark,,290,40,35,35,50,40,90
images/70.png,70,Meowth Galarian Meowth,Steel,,290,50,65,55,40,40,40
images/71.png,71,Persian,Normal,,440,65,70,60,65,65,115
images/72.png,72,Persian Alolan Persian,Dark,,440,65,60,60,75,65,115
images/73.png,73,Psyduck,Water,,320,50,52,48,65,50,55
images/74.png,74,Golduck,Water,,500,80,82,78,95,80,85
images/75.png,75,Mankey,Fighting,,305,40,80,35,35,45,70
images/76.png,76,Primeape,Fighting,,455,65,105,60,60,70,95
images/77.png,77,Growlithe,Fire,,350,55,70,45,70,50,60
images/78.png,78,Growlithe Hisuian Growlithe,Fire,Rock,350,60,75,45,65,50,55
images/79.png,79,Arcanine,Fire,,555,90,110,80,100,80,95
images/80.png,80,Arcanine Hisuian Arcanine,Fire,Rock,555,95,115,80,95,80,90
images/81.png,81,Poliwag,Water,,300,40,50,40,40,40,90
images/82.png,82,Poliwhirl,Water,,385,65,65,65,50,50,90
images/83.png,83,Poliwrath,Water,Fighting,510,90,95,95,70,90,70
images/84.png,84,Abra,Psychic,,310,25,20,15,105,55,90
images/85.png,85,Kadabra,Psychic,,400,40,35,30,120,70,105
images/86.png,86,Alakazam,Psychic,,500,55,50,45,135,95,120
images/87.png,87,Alakazam Mega Alakazam,Psychic,,600,55,50,65,175,105,150
